date,dailyTotal_0,dailyTotal_1,1163690_Compiled_0.csv
2020-10-18,1.01,,1.01
2020-10-19,1.25,,1.25
2021-01-16,12.75,0.82,13.57
2021-01-17,19.85,,19.85
2021-01-18,14.77,,14.77
2021-01-19,13.4,,13.4
2021-01-20,13.51,1.24,14.75
2021-01-21,11.07,0.22,11.290000000000001
2021-01-22,5.33,0.2,5.53
2021-01-23,14.25,0.13,14.38
2021-01-24,11.3,0.37,11.67
2021-01-25,17.21,,17.21
2021-01-26,8.56,,8.56
2021-01-27,3.08,0.23,3.31
2021-01-28,4.63,0.14,4.77
2021-01-29,1.8,,1.8
2021-01-30,16.58,,16.58
2021-01-31,3.37,,3.37
2021-02-01,3.22,,3.22
2021-02-02,1.14,,1.14
2021-02-03,3.03,0.08,3.11
2021-02-04,0.08,,0.08
2021-02-05,7.0,,7.0
2021-02-06,11.59,0.05,11.64
2021-02-07,8.440000000000001,0.11,8.55
2021-02-08,5.42,0.03,5.45
2021-02-09,0.44,,0.44
2021-02-10,2.05,,2.05
2021-02-11,10.24,,10.24
2021-02-12,0.14,0.12,0.26
2021-02-13,2.37,0.06,2.43
2021-02-14,5.05,,5.05
2021-02-15,13.09,0.09,13.18
2021-02-16,10.98,,10.98
2021-02-18,10.5,,10.5
2021-02-19,4.51,,4.51
2021-02-20,16.35,,16.35
2021-02-21,0.5599999999999999,,0.5599999999999999
2021-02-22,18.6,,18.6
2021-02-23,2.6,,2.6
2021-02-25,0.8200000000000001,,0.8200000000000001
2021-02-26,0.17,,0.17
2021-02-27,0.06,,0.06
2021-02-28,6.210000000000001,,6.210000000000001
2021-03-01,12.34,,12.34
2021-03-02,5.49,,5.49
2021-03-04,8.22,,8.22
2021-03-05,1.38,,1.38
2021-03-06,1.67,,1.67
2021-03-07,1.71,,1.71
2021-03-09,9.87,,9.87
2021-03-10,0.03,,0.03
2021-03-11,3.19,,3.19
2021-03-12,8.62,,8.62
2021-03-13,0.61,,0.61
2021-03-14,0.08,,0.08
2021-03-16,3.57,,3.57
2021-03-17,4.12,,4.12
2021-03-18,1.41,,1.41
2021-03-19,6.56,,6.56
2021-03-20,3.39,,3.39
2021-03-21,5.77,,5.77
2021-03-23,3.47,,3.47
2021-03-24,5.82,,5.82
2021-03-25,0.16,,0.16
2021-03-27,0.8800000000000001,,0.8800000000000001
2021-03-28,8.36,,8.36
2021-03-29,0.6799999999999999,,0.6799999999999999
2021-03-30,2.54,,2.54
2021-03-31,0.52,,0.52
2021-04-01,3.3000000000000003,,3.3000000000000003
2021-04-03,0.03,,0.03
2021-04-04,2.96,,2.96
2021-04-05,0.07,,0.07
2021-04-06,0.34,,0.34
